dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
HEK293T_heat_elF4A1_pl_wt;5_8S_rRNA;FALSCH;HEK293T;heatshock;pl;2;pl;2;low
HEK293T_hip_elF4A1_pl_wt;5_8S_rRNA;FALSCH;HEK293T;hippuristanol;pl;2;pl;2;low
U2OS_ars__EDC3_bp;A1BG-AS1;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_ars_G3BP1_bp_wt;A1BG-AS1;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_ars_PABPC1_bp_wt;A1BG-AS1;WAHR;U-2 OS;arsenite;bp;5;bp;5;medium
U2OS_sorb_G3BP1_bp_wt;A1BG-AS1;WAHR;U-2 OS;sorbitol;bp;5;bp;5;medium
SKNBE_ars_G3BP1_bp_FUS;A1BG-AS1;WAHR;SK-N-BE;arsenite;bp;5;bp;5;medium
U2OS_ars_G3BP1_bp_wt;A2M;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
HEK293T_heat_elF4A1_pl_wt;A2ML1-AS2;WAHR;HEK293T;heatshock;pl;1;pl;1;low
HeLa_ars_G3BP1_fanci_wt;A2MP1;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_heat_G3BP1_fanci_wt;A2MP1;WAHR;HeLa;heatshock;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;A2MP1;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
HEK293T_heat_elF4A1_pl_wt;A3GALT2;WAHR;HEK293T;heatshock;pl;1;pl;1;low
SMMC_ars_G3BP1_bp_wt;A4GALT;WAHR;SMMC-7721;arsenite;bp;1;bp;1;low
HeLa_osm_G3BP1_fanci_wt;AAAS;WAHR;HeLa;osmosis;fanci;1;fanci;1;low
U2OS_ars__EDC3_bp;AACS;WAHR;U-2 OS;arsenite;bp;1;bp;1;low
HEK293T_ars_G3BP1_pl_wt;AAGAB;WAHR;HEK293T;arsenite;pl;4;bp_pl_fanci;5;medium
PC3_ars_G3BP1_pl_wt;AAGAB;WAHR;PC3;arsenite;bp;4;bp_pl_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;AAGAB;WAHR;HeLa;arsenite;fanci;4;bp_pl_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;AAGAB;WAHR;HeLa;heatshock;fanci;4;bp_pl_fanci;5;medium
Tcell_stim_G3BP1_bp_wt;AAK1;WAHR;T cell;stimulation;bp;13;bp_fanci;14;high
U2OS_ars_G3BP1_bp_wt;AAK1;WAHR;U-2 OS;arsenite;bp;13;bp_fanci;14;high
U2OS_ars_PABPC1_bp_wt;AAK1;WAHR;U-2 OS;arsenite;bp;13;bp_fanci;14;high
U2OS_sorb_PABPC1_bp_wt;AAK1;WAHR;U-2 OS;sorbitol;bp;13;bp_fanci;14;high
U2OS_sorb_G3BP1_bp_wt;AAK1;WAHR;U-2 OS;sorbitol;bp;13;bp_fanci;14;high
U2OS_virus_G3BP1_bp_wt;AAK1;WAHR;U-2 OS;virus;bp;13;bp_fanci;14;high
HeLa_ars_G3BP1_bp_wt;AAK1;WAHR;HeLa;arsenite;bp;13;bp_fanci;14;high
HeLa_ars_G3BP1_fanci_wt;AAK1;WAHR;HeLa;arsenite;fanci;13;bp_fanci;14;high
